body_section,image,image_type
Head,6,jpeg
Head,124,jpeg
Head,125,jpeg
Head,126,jpeg
Legs,11,jpeg
Legs,12,jpeg
Legs,26,jpeg
Legs,30,jpeg
Legs,40,jpeg
Legs,41,jpeg
Legs,42,jpeg
Legs,43,jpeg
Legs,75,jpeg
Thorax,9,jpeg
Thorax,10,jpeg
Thorax,65,jpeg
Wings,8,jpeg
Wings,20,jpeg
Wings,21,jpeg
Wings,22,jpeg
Wings,25,jpeg
Wings,69,jpeg
Wings,76,jpeg
Wings,77,jpeg
Wings,78,jpeg
Wings,127,jpeg
Wings,145,jpeg
Wings,146,jpeg
Wings,147,jpeg
Wings,148,jpeg
Wings,149,jpeg
Wings,179,jpeg
Males,7,jpeg
Males,97,jpeg
Males,98,jpeg
Wingless females,15,jpeg
Wingless females,29,jpeg
Wingless females,128,jpeg
